dataset_index,max_abs_error_um,mask_equal
151,1.9072121233421058e-06,True
152,1.907324353567219e-06,True
153,9.535240188540683e-07,True
154,9.536002743004701e-07,True
155,1.9073324537544067e-06,True
156,9.536723659664403e-07,True
157,9.536480121141722e-07,True
158,9.536632923357047e-07,True
159,4.7679436221415017e-07,True
160,4.7683019488431455e-07,True
161,9.536697653800275e-07,True
162,1.8022593621935812e-06,True
163,9.535749754263634e-07,True
164,4.768144208355807e-07,True
165,4.768069423732868e-07,True
166,2.371471756745791e-07,True
167,9.536717371361192e-07,True
168,4.768127048748738e-07,True
169,9.53651287716184e-07,True
170,2.3841540741642575e-07,True
171,9.536368565932207e-07,True
172,2.381457253619601e-07,True
173,2.3840368612582097e-07,True
174,1.1889657702823797e-07,True
175,4.7630909527640597e-07,True
176,4.768085286599444e-07,True
177,9.536119343067639e-07,True
178,9.536704048684896e-07,True
179,1.9073341235298358e-06,True
180,1.9029051259167318e-06,True
181,1.9072997403668523e-06,True
182,4.7676814851627114e-07,True
183,9.536636724760683e-07,True
184,2.3836355467210524e-07,True
185,2.3840360441340636e-07,True
186,5.846929163055847e-08,True
187,1.1920368558904215e-07,True
188,4.7682109816094e-07,True
189,1.1918640829833294e-07,True
190,4.699106810335252e-07,True
191,9.536226563966466e-07,True
192,4.766615528950524e-07,True
193,1.1911652464391409e-07,True
194,2.3828363637790062e-07,True
195,2.384159367707639e-07,True
196,4.7682563319995097e-07,True
197,2.3551268579780071e-07,True
198,4.7681324844006667e-07,True
199,2.384121051690613e-07,True
