arm,target_id,input_set,model,fold,R2
formal_only,rms_DCT_8_16_um,R,extratrees,2,0.0434040897999437
formal_only,rms_DCT_16_32_um,R,ridge,2,0.1429481209301927
formal_only,rms_DCT_16_32_um,R,extratrees,2,0.14701109339228946
formal_only,rms_DCT_32_64_um,R,ridge,2,0.06773435483847778
formal_only,rms_DCT_32_64_um,R,extratrees,2,0.04590840373401961
formal_only,rms_DCT_64_inf_um,R,ridge,2,0.1391837754298818
formal_only,rms_DCT_64_inf_um,R,extratrees,2,0.044267202192636135
formal_only,median_depth_um,A,ridge,3,0.392697111781818
formal_only,median_depth_um,A,extratrees,3,0.8633288731012925
formal_only,Sq_um,A,ridge,3,-3.2346252632077945
formal_only,Sq_um,A,extratrees,3,-9.56649996645584
formal_only,E_DCT_8_16_frac,A,ridge,3,0.4102975625928891
formal_only,E_DCT_8_16_frac,A,extratrees,3,0.6332423107030996
formal_only,rms_DCT_8_16_um,A,ridge,3,0.03857255778429758
formal_only,rms_DCT_8_16_um,A,extratrees,3,-0.07884842290064054
formal_only,rms_DCT_16_32_um,A,ridge,3,-0.3288481808579473
formal_only,rms_DCT_16_32_um,A,extratrees,3,-1.9567255001018244
formal_only,rms_DCT_32_64_um,A,ridge,3,-1.0525028820222446
formal_only,rms_DCT_32_64_um,A,extratrees,3,-3.341842252200623
formal_only,rms_DCT_64_inf_um,A,ridge,3,-9.65402705298148
formal_only,rms_DCT_64_inf_um,A,extratrees,3,-27.623396592219496
formal_only,median_depth_um,R,ridge,3,0.7366530193472896
formal_only,median_depth_um,R,extratrees,3,0.814920669493062
formal_only,Sq_um,R,ridge,3,-3.5727843516548967
formal_only,Sq_um,R,extratrees,3,-7.5445887439249955
formal_only,E_DCT_8_16_frac,R,ridge,3,0.17741377773145084
formal_only,E_DCT_8_16_frac,R,extratrees,3,0.05682244890316235
formal_only,rms_DCT_8_16_um,R,ridge,3,-0.08784609816018807
formal_only,rms_DCT_8_16_um,R,extratrees,3,-0.35092514121169294
formal_only,rms_DCT_16_32_um,R,ridge,3,-0.22599325801903292
formal_only,rms_DCT_16_32_um,R,extratrees,3,-0.8828089199186198
formal_only,rms_DCT_32_64_um,R,ridge,3,-0.7558911984643122
formal_only,rms_DCT_32_64_um,R,extratrees,3,-2.269035469107573
