arm,target_id,input_set,model,R2_med_arm,baseline_target_id,R2_med_base,dR2,sensitivity
formal_only,rms_DCT_32_64_um,A,ridge,0.050726455834206985,rms_DCT_32_64_um,0.1234249048597916,-0.07269844902558462,moderate
formal_only,rms_DCT_32_64_um,R,extratrees,0.04590840373401961,rms_DCT_32_64_um,0.1015709065978965,-0.05566250286387689,moderate
formal_only,rms_DCT_32_64_um,R,ridge,0.12040674370346671,rms_DCT_32_64_um,0.0975975255048507,0.02280921819861602,stable
formal_only,rms_DCT_64_inf_um,A,extratrees,0.02926078169347235,rms_DCT_64_inf_um,0.0472470943349828,-0.017986312641510453,stable
formal_only,rms_DCT_64_inf_um,A,ridge,0.06928887524888871,rms_DCT_64_inf_um,0.1564429080510354,-0.08715403280214667,moderate
formal_only,rms_DCT_64_inf_um,R,extratrees,0.013333802142898143,rms_DCT_64_inf_um,0.0204642548039835,-0.0071304526610853555,stable
formal_only,rms_DCT_64_inf_um,R,ridge,0.1391837754298818,rms_DCT_64_inf_um,0.0843350130207681,0.05484876240911371,moderate
formal_only,rms_DCT_8_16_um,A,extratrees,0.02747426759709337,rms_DCT_8_16_um,0.2385589956380076,-0.21108472804091422,strong
formal_only,rms_DCT_8_16_um,A,ridge,0.009185196718920374,rms_DCT_8_16_um,0.1678557336845496,-0.15867053696562922,strong
formal_only,rms_DCT_8_16_um,R,extratrees,-0.08712627216451363,rms_DCT_8_16_um,0.1768523485485581,-0.26397862071307177,strong
formal_only,rms_DCT_8_16_um,R,ridge,0.054659567351927785,rms_DCT_8_16_um,0.0822088700288944,-0.02754930267696662,stable
minus_top1,E_DCT_8_16_frac,A,extratrees,0.5676365305231792,E_DCT_8_16_frac,0.626451115117141,-0.05881458459396183,moderate
minus_top1,E_DCT_8_16_frac,A,ridge,0.38145081881894805,E_DCT_8_16_frac,0.4175997250405951,-0.03614890622164707,stable
minus_top1,E_DCT_8_16_frac,R,extratrees,0.38856972307637816,E_DCT_8_16_frac,0.3657456608505888,0.022824062225789365,stable
minus_top1,E_DCT_8_16_frac,R,ridge,-0.03238320559363994,E_DCT_8_16_frac,0.036318947146204,-0.06870215273984394,moderate
minus_top1,Sq_um,A,extratrees,0.03691609726855927,Sq_um,0.0338103240026558,0.003105773265903465,stable
minus_top1,Sq_um,A,ridge,0.1033408838046358,Sq_um,0.0778926063823471,0.025448277422288695,stable
minus_top1,Sq_um,R,extratrees,0.011290774698509143,Sq_um,0.0511181356604431,-0.039827360961933955,stable
minus_top1,Sq_um,R,ridge,0.0706235723343498,Sq_um,0.1267713650319761,-0.05614779269762632,moderate
minus_top1,median_depth_um,A,extratrees,0.9275402140907424,median_depth_um,0.9100104991988768,0.01752971489186561,stable
minus_top1,median_depth_um,A,ridge,0.567569301675678,median_depth_um,0.5421738631222122,0.02539543855346582,stable
minus_top1,median_depth_um,R,extratrees,0.8026671751842289,median_depth_um,0.8201221052431125,-0.017454930058883544,stable
minus_top1,median_depth_um,R,ridge,0.5725686294161687,median_depth_um,0.6045370835433506,-0.031968454127181856,stable
minus_top1,rms_DCT_16_32_um,A,extratrees,0.19054925389173027,rms_DCT_16_32_um,0.1637306424576169,0.026818611434113376,stable
minus_top1,rms_DCT_16_32_um,A,ridge,0.15255425369966025,rms_DCT_16_32_um,0.2398911562363761,-0.08733690253671586,moderate
minus_top1,rms_DCT_16_32_um,R,extratrees,0.22608195766419426,rms_DCT_16_32_um,0.218373562682492,0.007708394981702255,stable
minus_top1,rms_DCT_16_32_um,R,ridge,0.19576410139446454,rms_DCT_16_32_um,0.1494297166872662,0.046334384707198334,stable
minus_top1,rms_DCT_32_64_um,A,extratrees,0.018116911426268367,rms_DCT_32_64_um,0.0119470581581343,0.0061698532681340665,stable
minus_top1,rms_DCT_32_64_um,A,ridge,0.08728018243079871,rms_DCT_32_64_um,0.1234249048597916,-0.03614472242899289,stable
minus_top1,rms_DCT_32_64_um,R,extratrees,0.08916782408686008,rms_DCT_32_64_um,0.1015709065978965,-0.012403082511036417,stable
minus_top1,rms_DCT_32_64_um,R,ridge,0.09132623263009443,rms_DCT_32_64_um,0.0975975255048507,-0.006271292874756265,stable
minus_top1,rms_DCT_64_inf_um,A,extratrees,0.10612214713945944,rms_DCT_64_inf_um,0.0472470943349828,0.05887505280447664,moderate
minus_top1,rms_DCT_64_inf_um,A,ridge,0.11934681823610604,rms_DCT_64_inf_um,0.1564429080510354,-0.037096089814929345,stable
minus_top1,rms_DCT_64_inf_um,R,extratrees,-0.01145966395231035,rms_DCT_64_inf_um,0.0204642548039835,-0.03192391875629385,stable
minus_top1,rms_DCT_64_inf_um,R,ridge,0.05991729260510803,rms_DCT_64_inf_um,0.0843350130207681,-0.024417720415660066,stable
minus_top1,rms_DCT_8_16_um,A,extratrees,0.35307158793048243,rms_DCT_8_16_um,0.2385589956380076,0.11451259229247485,moderate
minus_top1,rms_DCT_8_16_um,A,ridge,0.12798548281720035,rms_DCT_8_16_um,0.1678557336845496,-0.039870250867349244,stable
